Period_Start,Period_End,Sales Office,Email,ALDI Representative,Vendor #,Vendor Name,Generic Article,Article Description,Sold Units ,Sold Cases ,Store Stock Cases ,Warehouse Stock Cases ,Region Stock Cases 
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,624892,Beef Rendang 350g/Chicken Massaman 350g,2406,197,199,149.0,348
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366731,Beef Strog/Lamb Hot Pot,1376,112,132,76.0,208
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,369349,BfRagu/SngpreNoodls375g,2099,172,146,339.0,485
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370729,BigFeedChkKiev/BangrsMsh,824,65,108,34.0,142
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,486774,Chkn Parm/Bacon Bake,541,42,93,77.0,170
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,570851,ChknGreenCurry 280g/ChilliConCarne 330g,1365,111,129,210.0,339
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365845,ChkRisotto/SundriedTom,1266,87,119,194.0,313
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370927,Fit Meals 330g,1436,118,166,213.0,379
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,476819,Fit Meals Beef 330g/360g,1201,97,117,207.0,324
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365787,Froz Lasagne 2kg,561,90,140,232.0,372
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,371392,Frz Snack Pies 4pk,1904,155,130,242.0,372
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,366849,FrzChickenParm/LambSh,1409,97,126,158.0,284
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,368740,FrzChknKiev/BeefRissole,954,65,119,175.0,294
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,364754,Fzn Lasagne 400g,3747,310,195,647.0,842
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Shane Aitken,1124050,Patties Foods Ltd,531367,Lasagne 1.2kg,1977,327,111,125.0,236
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,366728,Meat Pies 6pk 900g,1451,179,176,329.0,505
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365199,Party Combo 30Pk 1.25kg,1070,175,249,336.0,585
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365172,Party Pies 24pk,1718,139,146,235.0,381
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,367293,PiesPremium2pk400-420g,2223,181,185,282.0,467
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Andrew King,1124050,Patties Foods Ltd,365211,Sausage Rolls 900g 24pk,1359,223,305,403.0,708
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,365287,ShephrdPie/TunaMornay400g,1156,93,146,151.0,297
12/05/2025,18/05/2025,Jandakot,nkatu@patties.com.au,Brodan Tanner,1124050,Patties Foods Ltd,370541,SpagBol/Mac&Chs 375g,3431,283,201,597.0,798
